Name,College,Graduated?,Grade
Chase Young,Ohio State,No,99.5
Yetur Gross-Matos,Penn State,No,95
A.J. Epenesa,Iowa,No,87.5
Terrell Lewis,Alabama,Yes,85
Curtis Weaver,Boise State,No,81.8
Bradlee Anae,Utah,Yes,81
Jonathan Greenard,Florida,Yes,79.4
Khalid Kareem,Notre Dame,Yes,76.5
Jabari Zuniga,Florida,Yes,73.125
Darrell Taylor,Tennessee,Yes,72.375
Jason Strowbridge,North Carolina,Yes,71.5
Alex Highsmith,Charlotte,Yes,70
Alton Robinson,Syracuse,Yes,67.6
Nick Coe,Auburn,No,60.5
Jonathan Garvin,Miami (FL),No,56
Kenny Willekes,Michigan State,Yes,50.8
D.J. Wonnum,South Carolina,Yes,47.5
Derrick Tuszka,North Dakota State,Yes,46.8
Trevis Gipson,Tulsa,Yes,45
Bryce Sterk,Montana State,Yes,41.5
Calvin Taylor Jr.,Kentucky,Yes,38.5
Joe Gaziano,Northwestern,Yes,36.6
Jonah Williams,Weber State,Yes,36
James Smith-Williams ,North Carolina State,Yes,33.1
Delontae Scott ,SMU,Yes,31
RonDell Carter,James Madison,Yes,28.4
Trevon Hill ,Miami (FL),Yes,26.9
